match_id,week_tag,created_at,user_a,user_b,display_score,rank_score,overall_confidence,score_personality_total,score_mbti_total,score_astro_total,score_bazi,score_zodiac,score_constellation,score_natal_chart,mutual_like,first_message,reply_24h,sustained_7d,explanation_view,m_personality_score,m_personality_confidence,m_personality_degraded,m_personality_weight,m_personality_verdict,m_mbti_score,m_mbti_confidence,m_mbti_degraded,m_mbti_weight,m_mbti_verdict,m_bazi_score,m_bazi_confidence,m_bazi_degraded,m_bazi_weight,m_bazi_verdict,m_zodiac_score,m_zodiac_confidence,m_zodiac_degraded,m_zodiac_weight,m_zodiac_verdict,m_constellation_score,m_constellation_confidence,m_constellation_degraded,m_constellation_weight,m_constellation_verdict,m_natal_chart_score,m_natal_chart_confidence,m_natal_chart_degraded,m_natal_chart_weight,m_natal_chart_verdict,m_pair_chart_score,m_pair_chart_confidence,m_pair_chart_degraded,m_pair_chart_weight,m_pair_chart_verdict,label_positive_reply24h,label_positive_sustained7d
11791,2026-W13,2026-03-29T11:49:34+00:00,1859,2050,63,69,0.9,63,60,59,64,30,60,80,1,0,0,0,0,63,0.9,0,0.58,medium,60,0.62,0,0.07,medium,64,0.92,0,0.1575,medium,30,1,0,0.0875,weak,60,1,0,0.028,medium,80,0.9,0,0.0245,strong,79,0.92,0,0.0525,medium,0,0
11790,2026-W13,2026-03-29T11:49:34+00:00,1852,1996,56,62,0.9,51,63,59,68,30,60,70,1,0,0,0,0,51,0.9,0,0.58,weak,63,0.62,0,0.07,medium,68,0.92,0,0.1575,medium,30,1,0,0.0875,weak,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,72,0.92,0,0.0525,medium,0,0
11789,2026-W13,2026-03-29T11:49:34+00:00,1851,2038,68,74,0.9,76,54,67,67,55,85,78,0,0,0,0,0,76,0.9,0,0.58,medium,54,0.62,0,0.07,weak,67,0.92,0,0.1575,medium,55,1,0,0.0875,weak,85,1,0,0.028,strong,78,0.9,0,0.0245,medium,69,0.92,0,0.0525,medium,0,0
11788,2026-W13,2026-03-29T11:49:34+00:00,1850,1903,55,60,0.9,61,55,68,69,60,75,75,0,0,0,0,0,61,0.9,0,0.58,medium,55,0.62,0,0.07,weak,69,0.92,0,0.1575,medium,60,1,0,0.0875,medium,75,1,0,0.028,medium,75,0.9,0,0.0245,medium,69,0.92,0,0.0525,medium,0,0
11787,2026-W13,2026-03-29T11:49:34+00:00,1843,1909,63,70,0.9,63,58,66,66,55,60,78,1,1,1,0,0,63,0.9,0,0.58,medium,58,0.62,0,0.07,weak,66,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,78,0.9,0,0.0245,medium,79,0.92,0,0.0525,medium,1,0
11786,2026-W13,2026-03-29T11:49:34+00:00,1842,2049,71,78,0.9,65,52,62,68,30,75,83,1,1,1,0,0,65,0.9,0,0.58,medium,52,0.62,0,0.07,weak,68,0.92,0,0.1575,medium,30,1,0,0.0875,weak,75,1,0,0.028,medium,83,0.9,0,0.0245,strong,83,0.92,0,0.0525,strong,1,0
11785,2026-W13,2026-03-29T11:49:34+00:00,1833,1934,61,67,0.9,68,60,59,65,20,90,89,0,0,0,0,0,68,0.9,0,0.58,medium,60,0.62,0,0.07,medium,65,0.92,0,0.1575,medium,20,1,0,0.0875,weak,90,1,0,0.028,strong,89,0.9,0,0.0245,strong,76,0.92,0,0.0525,medium,0,0
11784,2026-W13,2026-03-29T11:49:34+00:00,1829,1944,54,59,0.9,61,55,65,67,55,85,68,1,1,1,0,0,61,0.9,0,0.58,medium,55,0.62,0,0.07,weak,67,0.92,0,0.1575,medium,55,1,0,0.0875,weak,85,1,0,0.028,strong,68,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,1,0
11783,2026-W13,2026-03-29T11:49:34+00:00,1826,2052,70,77,0.9,58,56,64,61,60,85,68,1,1,1,0,1,58,0.9,0,0.58,weak,56,0.62,0,0.07,weak,61,0.92,0,0.1575,medium,60,1,0,0.0875,medium,85,1,0,0.028,strong,68,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,1,0
11782,2026-W13,2026-03-29T11:49:34+00:00,1822,2042,64,70,0.9,58,53,69,78,55,75,65,0,1,0,0,0,58,0.9,0,0.58,weak,53,0.62,0,0.07,weak,78,0.92,0,0.1575,medium,55,1,0,0.0875,weak,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,0,0
11781,2026-W13,2026-03-29T11:49:34+00:00,1817,2032,67,74,0.9,69,54,69,64,85,60,60,0,1,1,1,0,69,0.9,0,0.58,medium,54,0.62,0,0.07,weak,64,0.92,0,0.1575,medium,85,1,0,0.0875,strong,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,1,1
11780,2026-W13,2026-03-29T11:49:34+00:00,1813,1894,64,70,0.9,63,53,72,61,85,75,84,0,0,0,0,0,63,0.9,0,0.58,medium,53,0.62,0,0.07,weak,61,0.92,0,0.1575,medium,85,1,0,0.0875,strong,75,1,0,0.028,medium,84,0.9,0,0.0245,strong,76,0.92,0,0.0525,medium,0,0
11779,2026-W13,2026-03-29T11:49:34+00:00,1801,1849,75,83,0.9,72,63,60,75,30,60,60,1,1,0,0,1,72,0.9,0,0.58,medium,63,0.62,0,0.07,medium,75,0.92,0,0.1575,medium,30,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11778,2026-W13,2026-03-29T11:49:34+00:00,1763,1805,65,72,0.9,70,60,60,71,30,75,65,0,0,0,0,0,70,0.9,0,0.58,medium,60,0.62,0,0.07,medium,71,0.92,0,0.1575,medium,30,1,0,0.0875,weak,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,67,0.92,0,0.0525,medium,0,0
11777,2026-W13,2026-03-29T11:49:34+00:00,1762,1786,67,74,0.9,70,53,67,71,55,60,77,0,0,0,0,0,70,0.9,0,0.58,medium,53,0.62,0,0.07,weak,71,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,77,0.9,0,0.0245,medium,76,0.92,0,0.0525,medium,0,0
11776,2026-W13,2026-03-29T11:49:34+00:00,1745,1948,67,73,0.9,65,58,66,69,55,60,77,0,0,0,0,1,65,0.9,0,0.58,medium,58,0.62,0,0.07,weak,69,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,77,0.9,0,0.0245,medium,76,0.92,0,0.0525,medium,0,0
11775,2026-W13,2026-03-29T11:49:34+00:00,1736,2003,68,75,0.9,66,59,76,65,100,60,80,0,1,1,1,1,66,0.9,0,0.58,medium,59,0.62,0,0.07,weak,65,0.92,0,0.1575,medium,100,1,0,0.0875,strong,60,1,0,0.028,medium,80,0.9,0,0.0245,strong,79,0.92,0,0.0525,medium,1,1
11774,2026-W13,2026-03-29T11:49:34+00:00,1733,1782,61,67,0.9,66,53,80,70,100,75,81,0,1,0,0,0,66,0.9,0,0.58,medium,53,0.62,0,0.07,weak,70,0.92,0,0.1575,medium,100,1,0,0.0875,strong,75,1,0,0.028,medium,81,0.9,0,0.0245,strong,81,0.92,0,0.0525,strong,0,0
11773,2026-W13,2026-03-29T11:49:34+00:00,1722,1904,80,88,0.9,69,63,69,69,55,85,84,0,1,0,0,1,69,0.9,0,0.58,medium,63,0.62,0,0.07,medium,69,0.92,0,0.1575,medium,55,1,0,0.0875,weak,85,1,0,0.028,strong,84,0.9,0,0.0245,strong,74,0.92,0,0.0525,medium,0,0
11772,2026-W13,2026-03-29T11:49:34+00:00,1720,1756,67,73,0.9,65,58,66,67,55,60,80,1,1,0,0,1,65,0.9,0,0.58,medium,58,0.62,0,0.07,weak,67,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,80,0.9,0,0.0245,strong,79,0.92,0,0.0525,medium,0,0
11771,2026-W13,2026-03-29T11:49:34+00:00,1704,1966,66,72,0.9,68,54,60,68,35,60,70,0,1,1,1,0,68,0.9,0,0.58,medium,54,0.62,0,0.07,weak,68,0.92,0,0.1575,medium,35,1,0,0.0875,weak,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,74,0.92,0,0.0525,medium,1,1
11770,2026-W13,2026-03-29T11:49:34+00:00,1703,1898,75,82,0.9,71,60,80,71,100,75,75,0,0,0,0,1,71,0.9,0,0.58,medium,60,0.62,0,0.07,medium,71,0.92,0,0.1575,medium,100,1,0,0.0875,strong,75,1,0,0.028,medium,75,0.9,0,0.0245,medium,80,0.92,0,0.0525,strong,0,0
11769,2026-W13,2026-03-29T11:49:34+00:00,1692,2028,69,76,0.9,68,55,67,71,55,60,70,1,0,0,0,1,68,0.9,0,0.58,medium,55,0.62,0,0.07,weak,71,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,74,0.92,0,0.0525,medium,0,0
11768,2026-W13,2026-03-29T11:49:34+00:00,1689,1794,65,71,0.9,60,59,70,73,55,90,79,1,0,0,0,0,60,0.9,0,0.58,medium,59,0.62,0,0.07,weak,73,0.92,0,0.1575,medium,55,1,0,0.0875,weak,90,1,0,0.028,strong,79,0.9,0,0.0245,medium,69,0.92,0,0.0525,medium,0,0
11767,2026-W13,2026-03-29T11:49:34+00:00,1682,1700,68,74,0.9,75,54,69,73,55,75,81,1,1,0,0,0,75,0.9,0,0.58,medium,54,0.62,0,0.07,weak,73,0.92,0,0.1575,medium,55,1,0,0.0875,weak,75,1,0,0.028,medium,81,0.9,0,0.0245,strong,74,0.92,0,0.0525,medium,0,0
11766,2026-W13,2026-03-29T11:49:34+00:00,1680,2027,76,84,0.9,74,55,60,67,30,60,78,1,1,0,0,0,74,0.9,0,0.58,medium,55,0.62,0,0.07,weak,67,0.92,0,0.1575,medium,30,1,0,0.0875,weak,60,1,0,0.028,medium,78,0.9,0,0.0245,medium,80,0.92,0,0.0525,strong,0,0
11765,2026-W13,2026-03-29T11:49:34+00:00,1676,1914,71,78,0.9,72,55,67,71,55,85,68,1,0,0,0,0,72,0.9,0,0.58,medium,55,0.62,0,0.07,weak,71,0.92,0,0.1575,medium,55,1,0,0.0875,weak,85,1,0,0.028,strong,68,0.9,0,0.0245,medium,67,0.92,0,0.0525,medium,0,0
11764,2026-W13,2026-03-29T11:49:34+00:00,1671,1951,62,69,0.9,60,53,62,67,55,60,60,1,0,0,0,0,60,0.9,0,0.58,medium,53,0.62,0,0.07,weak,67,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11763,2026-W13,2026-03-29T11:49:34+00:00,1666,2008,65,72,0.9,67,63,65,68,55,75,65,0,1,0,0,0,67,0.9,0,0.58,medium,63,0.62,0,0.07,medium,68,0.92,0,0.1575,medium,55,1,0,0.0875,weak,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,67,0.92,0,0.0525,medium,0,0
11762,2026-W13,2026-03-29T11:49:34+00:00,1662,1750,66,73,0.9,62,59,77,70,100,60,70,0,1,1,0,0,62,0.9,0,0.58,medium,59,0.62,0,0.07,weak,70,0.92,0,0.1575,medium,100,1,0,0.0875,strong,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,72,0.92,0,0.0525,medium,1,0
11761,2026-W13,2026-03-29T11:49:34+00:00,1661,1812,65,71,0.9,60,52,69,71,60,60,80,0,0,0,0,1,60,0.9,0,0.58,medium,52,0.62,0,0.07,weak,71,0.92,0,0.1575,medium,60,1,0,0.0875,medium,60,1,0,0.028,medium,80,0.9,0,0.0245,strong,79,0.92,0,0.0525,medium,0,0
11760,2026-W13,2026-03-29T11:49:34+00:00,1660,1741,50,55,0.9,64,54,67,61,85,60,60,1,1,1,0,0,64,0.9,0,0.58,medium,54,0.62,0,0.07,weak,61,0.92,0,0.1575,medium,85,1,0,0.0875,strong,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,1,0
11759,2026-W13,2026-03-29T11:49:34+00:00,1658,1743,64,71,0.9,64,55,68,70,55,85,78,0,1,0,0,0,64,0.9,0,0.58,medium,55,0.62,0,0.07,weak,70,0.92,0,0.1575,medium,55,1,0,0.0875,weak,85,1,0,0.028,strong,78,0.9,0,0.0245,medium,69,0.92,0,0.0525,medium,0,0
11758,2026-W13,2026-03-29T11:49:34+00:00,1649,1922,73,81,0.9,60,56,68,68,60,90,69,1,0,0,0,0,60,0.9,0,0.58,medium,56,0.62,0,0.07,weak,68,0.92,0,0.1575,medium,60,1,0,0.0875,medium,90,1,0,0.028,strong,69,0.9,0,0.0245,medium,67,0.92,0,0.0525,medium,0,0
11757,2026-W13,2026-03-29T11:49:34+00:00,1648,1758,76,83,0.9,64,58,69,81,55,60,60,0,1,0,0,0,64,0.9,0,0.58,medium,58,0.62,0,0.07,weak,81,0.92,0,0.1575,strong,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11756,2026-W13,2026-03-29T11:49:34+00:00,1641,1785,69,76,0.9,69,63,73,66,85,90,69,0,1,0,0,0,69,0.9,0,0.58,medium,63,0.62,0,0.07,medium,66,0.92,0,0.1575,medium,85,1,0,0.0875,strong,90,1,0,0.028,strong,69,0.9,0,0.0245,medium,67,0.92,0,0.0525,medium,0,0
11755,2026-W13,2026-03-29T11:49:34+00:00,1640,1888,77,85,0.9,67,53,67,69,55,75,75,0,1,0,0,0,67,0.9,0,0.58,medium,53,0.62,0,0.07,weak,69,0.92,0,0.1575,medium,55,1,0,0.0875,weak,75,1,0,0.028,medium,75,0.9,0,0.0245,medium,74,0.92,0,0.0525,medium,0,0
11754,2026-W13,2026-03-29T11:49:34+00:00,1634,1932,54,59,0.9,56,59,73,76,60,90,79,0,0,0,0,1,56,0.9,0,0.58,weak,59,0.62,0,0.07,weak,76,0.92,0,0.1575,medium,60,1,0,0.0875,medium,90,1,0,0.028,strong,79,0.9,0,0.0245,medium,76,0.92,0,0.0525,medium,0,0
11753,2026-W13,2026-03-29T11:49:34+00:00,1633,1930,54,60,0.9,60,60,74,75,85,60,60,1,0,0,0,1,60,0.9,0,0.58,medium,60,0.62,0,0.07,medium,75,0.92,0,0.1575,medium,85,1,0,0.0875,strong,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,0,0
11752,2026-W13,2026-03-29T11:49:34+00:00,1626,1847,63,70,0.9,64,60,80,66,100,85,84,0,1,1,0,0,64,0.9,0,0.58,medium,60,0.62,0,0.07,medium,66,0.92,0,0.1575,medium,100,1,0,0.0875,strong,85,1,0,0.028,strong,84,0.9,0,0.0245,strong,82,0.92,0,0.0525,strong,1,0
11751,2026-W13,2026-03-29T11:49:34+00:00,1609,2013,51,57,0.9,58,56,62,63,55,60,60,1,0,0,0,0,58,0.9,0,0.58,weak,56,0.62,0,0.07,weak,63,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,71,0.92,0,0.0525,medium,0,0
11750,2026-W13,2026-03-29T11:49:34+00:00,1606,1877,65,71,0.9,62,53,68,66,55,85,86,0,0,0,0,0,62,0.9,0,0.58,medium,53,0.62,0,0.07,weak,66,0.92,0,0.1575,medium,55,1,0,0.0875,weak,85,1,0,0.028,strong,86,0.9,0,0.0245,strong,80,0.92,0,0.0525,strong,0,0
11749,2026-W13,2026-03-29T11:49:34+00:00,1604,1619,65,72,0.9,65,53,71,64,85,75,65,0,1,1,1,0,65,0.9,0,0.58,medium,53,0.62,0,0.07,weak,64,0.92,0,0.1575,medium,85,1,0,0.0875,strong,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,1,1
11748,2026-W13,2026-03-29T11:49:34+00:00,1602,2002,70,77,0.9,61,63,81,74,100,85,78,1,1,0,0,1,61,0.9,0,0.58,medium,63,0.62,0,0.07,medium,74,0.92,0,0.1575,medium,100,1,0,0.0875,strong,85,1,0,0.028,strong,78,0.9,0,0.0245,medium,69,0.92,0,0.0525,medium,0,0
11747,2026-W13,2026-03-29T11:49:34+00:00,1601,1810,59,65,0.9,68,56,52,57,30,60,60,0,0,0,0,1,68,0.9,0,0.58,medium,56,0.62,0,0.07,weak,57,0.92,0,0.1575,weak,30,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,0,0
11746,2026-W13,2026-03-29T11:49:34+00:00,1600,1804,62,68,0.9,61,56,69,57,85,90,69,0,0,0,0,0,61,0.9,0,0.58,medium,56,0.62,0,0.07,weak,57,0.92,0,0.1575,weak,85,1,0,0.0875,strong,90,1,0,0.028,strong,69,0.9,0,0.0245,medium,68,0.92,0,0.0525,medium,0,0
11745,2026-W13,2026-03-29T11:49:34+00:00,1598,1734,59,65,0.9,55,59,64,72,55,60,60,1,1,1,0,0,55,0.9,0,0.58,weak,59,0.62,0,0.07,weak,72,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,1,0
11744,2026-W13,2026-03-29T11:49:34+00:00,1594,1702,68,75,0.9,72,56,66,73,60,60,60,1,1,1,0,0,72,0.9,0,0.58,medium,56,0.62,0,0.07,weak,73,0.92,0,0.1575,medium,60,1,0,0.0875,medium,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,1,0
11743,2026-W13,2026-03-29T11:49:34+00:00,1591,1615,60,67,0.9,61,53,58,67,30,75,65,1,1,0,0,0,61,0.9,0,0.58,medium,53,0.62,0,0.07,weak,67,0.92,0,0.1575,medium,30,1,0,0.0875,weak,75,1,0,0.028,medium,65,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,0,0
11742,2026-W13,2026-03-29T11:49:34+00:00,1588,1796,82,90,0.9,66,63,79,72,100,85,68,0,0,0,0,1,66,0.9,0,0.58,medium,63,0.62,0,0.07,medium,72,0.92,0,0.1575,medium,100,1,0,0.0875,strong,85,1,0,0.028,strong,68,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,0,0
11741,2026-W13,2026-03-29T11:49:34+00:00,1585,2025,67,74,0.9,63,55,57,59,35,60,77,1,1,1,0,1,63,0.9,0,0.58,medium,55,0.62,0,0.07,weak,59,0.92,0,0.1575,weak,35,1,0,0.0875,weak,60,1,0,0.028,medium,77,0.9,0,0.0245,medium,78,0.92,0,0.0525,medium,1,0
11740,2026-W13,2026-03-29T11:49:34+00:00,1584,1770,60,66,0.9,62,63,59,68,20,75,81,0,0,0,0,1,62,0.9,0,0.58,medium,63,0.62,0,0.07,medium,68,0.92,0,0.1575,medium,20,1,0,0.0875,weak,75,1,0,0.028,medium,81,0.9,0,0.0245,strong,81,0.92,0,0.0525,strong,0,0
11739,2026-W13,2026-03-29T11:49:34+00:00,1583,1819,69,76,0.9,62,59,78,71,100,60,70,0,1,0,0,0,62,0.9,0,0.58,medium,59,0.62,0,0.07,weak,71,0.92,0,0.1575,medium,100,1,0,0.0875,strong,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,74,0.92,0,0.0525,medium,0,0
11738,2026-W13,2026-03-29T11:49:34+00:00,1582,1670,60,67,0.9,66,59,66,69,55,60,70,0,0,0,0,0,66,0.9,0,0.58,medium,59,0.62,0,0.07,weak,69,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,70,0.9,0,0.0245,medium,74,0.92,0,0.0525,medium,0,0
11737,2026-W13,2026-03-29T11:49:34+00:00,1581,1710,58,64,0.9,58,53,74,63,85,75,84,1,0,0,0,1,58,0.9,0,0.58,weak,53,0.62,0,0.07,weak,63,0.92,0,0.1575,medium,85,1,0,0.0875,strong,75,1,0,0.028,medium,84,0.9,0,0.0245,strong,83,0.92,0,0.0525,strong,0,0
11736,2026-W13,2026-03-29T11:49:34+00:00,1580,1960,57,63,0.9,59,58,63,69,55,60,60,0,1,1,1,0,59,0.9,0,0.58,weak,58,0.62,0,0.07,weak,69,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,1,1
11735,2026-W13,2026-03-29T11:49:34+00:00,1579,1780,70,77,0.9,73,55,71,74,60,60,80,0,0,0,0,0,73,0.9,0,0.58,medium,55,0.62,0,0.07,weak,74,0.92,0,0.1575,medium,60,1,0,0.0875,medium,60,1,0,0.028,medium,80,0.9,0,0.0245,strong,81,0.92,0,0.0525,strong,0,0
11734,2026-W13,2026-03-29T11:49:34+00:00,1578,2031,65,71,0.9,66,60,74,69,85,60,77,0,1,0,0,1,66,0.9,0,0.58,medium,60,0.62,0,0.07,medium,69,0.92,0,0.1575,medium,85,1,0,0.0875,strong,60,1,0,0.028,medium,77,0.9,0,0.0245,medium,76,0.92,0,0.0525,medium,0,0
11733,2026-W13,2026-03-29T11:49:34+00:00,1577,1976,82,90,0.9,76,60,63,68,55,60,60,0,1,0,0,0,76,0.9,0,0.58,medium,60,0.62,0,0.07,medium,68,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11732,2026-W13,2026-03-29T11:49:34+00:00,1574,1761,72,79,0.9,68,59,72,73,85,60,60,0,0,0,0,1,68,0.9,0,0.58,medium,59,0.62,0,0.07,weak,73,0.92,0,0.1575,medium,85,1,0,0.0875,strong,60,1,0,0.028,medium,60,0.9,0,0.0245,medium,62,0.92,0,0.0525,medium,0,0
11731,2026-W13,2026-03-29T11:49:34+00:00,1572,1915,69,76,0.9,71,55,72,63,85,60,80,0,1,1,0,0,71,0.9,0,0.58,medium,55,0.62,0,0.07,weak,63,0.92,0,0.1575,medium,85,1,0,0.0875,strong,60,1,0,0.028,medium,80,0.9,0,0.0245,strong,80,0.92,0,0.0525,strong,1,0
11730,2026-W13,2026-03-29T11:49:34+00:00,1569,1807,67,74,0.9,66,52,75,62,100,90,69,1,1,0,0,0,66,0.9,0,0.58,medium,52,0.62,0,0.07,weak,62,0.92,0,0.1575,medium,100,1,0,0.0875,strong,90,1,0,0.028,strong,69,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,0,0
11729,2026-W13,2026-03-29T11:49:34+00:00,1565,1957,62,69,0.9,69,58,67,71,55,60,77,1,1,0,0,1,69,0.9,0,0.58,medium,58,0.62,0,0.07,weak,71,0.92,0,0.1575,medium,55,1,0,0.0875,weak,60,1,0,0.028,medium,77,0.9,0,0.0245,medium,76,0.92,0,0.0525,medium,0,0
11728,2026-W13,2026-03-29T11:49:34+00:00,1562,1644,68,74,0.9,58,55,58,61,30,75,75,1,0,0,0,0,58,0.9,0,0.58,weak,55,0.62,0,0.07,weak,61,0.92,0,0.1575,medium,30,1,0,0.0875,weak,75,1,0,0.028,medium,75,0.9,0,0.0245,medium,79,0.92,0,0.0525,medium,0,0
11727,2026-W13,2026-03-29T11:49:34+00:00,1559,1564,62,69,0.9,63,59,65,63,60,85,68,0,1,0,0,0,63,0.9,0,0.58,medium,59,0.62,0,0.07,weak,63,0.92,0,0.1575,medium,60,1,0,0.0875,medium,85,1,0,0.028,strong,68,0.9,0,0.0245,medium,65,0.92,0,0.0525,medium,0,0
